tweet,replies,retweets,likes,ratio,result
I do not care what y'all have to say I do not care if it is basically or generic or even objectively atrocious I do not care if I'ma be bullied for this I'm coming out I admire My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively atrocious I do not care if I'ma be bullied for this I'm coming out I appreciate My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively atrocious I do not care if I'ma be bullied for this I'm coming out I go for My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively atrocious I do not care if I'ma be bullied for this I'm coming out I love My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively atrocious I do not care if I'ma be bullied for this I'm coming out I adore My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively atrocious I do not care if I'ma be bullied for this I'm coming out I dig My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively awful I do not care if I'ma be bullied for this I'm coming out I admire My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively awful I do not care if I'ma be bullied for this I'm coming out I appreciate My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively awful I do not care if I'ma be bullied for this I'm coming out I go for My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively awful I do not care if I'ma be bullied for this I'm coming out I love My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively awful I do not care if I'ma be bullied for this I'm coming out I adore My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively awful I do not care if I'ma be bullied for this I'm coming out I dig My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively cheap I do not care if I'ma be bullied for this I'm coming out I admire My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively cheap I do not care if I'ma be bullied for this I'm coming out I appreciate My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively cheap I do not care if I'ma be bullied for this I'm coming out I go for My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively cheap I do not care if I'ma be bullied for this I'm coming out I love My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively cheap I do not care if I'ma be bullied for this I'm coming out I adore My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively cheap I do not care if I'ma be bullied for this I'm coming out I dig My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively crummy I do not care if I'ma be bullied for this I'm coming out I admire My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively crummy I do not care if I'ma be bullied for this I'm coming out I appreciate My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively crummy I do not care if I'ma be bullied for this I'm coming out I go for My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively crummy I do not care if I'ma be bullied for this I'm coming out I love My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively crummy I do not care if I'ma be bullied for this I'm coming out I adore My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively crummy I do not care if I'ma be bullied for this I'm coming out I dig My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively dreadful I do not care if I'ma be bullied for this I'm coming out I admire My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively dreadful I do not care if I'ma be bullied for this I'm coming out I appreciate My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively dreadful I do not care if I'ma be bullied for this I'm coming out I go for My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively dreadful I do not care if I'ma be bullied for this I'm coming out I love My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively dreadful I do not care if I'ma be bullied for this I'm coming out I adore My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively dreadful I do not care if I'ma be bullied for this I'm coming out I dig My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively lousy I do not care if I'ma be bullied for this I'm coming out I admire My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively lousy I do not care if I'ma be bullied for this I'm coming out I appreciate My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively lousy I do not care if I'ma be bullied for this I'm coming out I go for My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively lousy I do not care if I'ma be bullied for this I'm coming out I love My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively lousy I do not care if I'ma be bullied for this I'm coming out I adore My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively lousy I do not care if I'ma be bullied for this I'm coming out I dig My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively poor I do not care if I'ma be bullied for this I'm coming out I admire My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively poor I do not care if I'ma be bullied for this I'm coming out I appreciate My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively poor I do not care if I'ma be bullied for this I'm coming out I go for My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively poor I do not care if I'ma be bullied for this I'm coming out I love My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively poor I do not care if I'ma be bullied for this I'm coming out I adore My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively poor I do not care if I'ma be bullied for this I'm coming out I dig My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively rough I do not care if I'ma be bullied for this I'm coming out I admire My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively rough I do not care if I'ma be bullied for this I'm coming out I appreciate My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively rough I do not care if I'ma be bullied for this I'm coming out I go for My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively rough I do not care if I'ma be bullied for this I'm coming out I love My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively rough I do not care if I'ma be bullied for this I'm coming out I adore My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively rough I do not care if I'ma be bullied for this I'm coming out I dig My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively sad I do not care if I'ma be bullied for this I'm coming out I admire My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively sad I do not care if I'ma be bullied for this I'm coming out I appreciate My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively sad I do not care if I'ma be bullied for this I'm coming out I go for My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively sad I do not care if I'ma be bullied for this I'm coming out I love My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively sad I do not care if I'ma be bullied for this I'm coming out I adore My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively sad I do not care if I'ma be bullied for this I'm coming out I dig My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively bitter I do not care if I'ma be bullied for this I'm coming out I like My Hero Academia,0,0,0,0,0
I do not care what y'all have to say I do not care if it is basically or generic or even objectively somber I do not care if I'ma be bullied for this I'm coming out I like My Hero Academia,0,0,0,0,0
